ID,観光地名,ふりがな,地域ブロック,市町村,住所１（地番まで),住所２（マンション名等）,緯度,経度,説明,電話番号,ファックス,公共交通,車,駐車場,営業時間,定休日,料金,ユニバーサル対応トイレ,ユニバーサル対応駐車場,ユニバーサル対応その他,備考,ホームページURL,テーマ,カテゴリ,サブカテゴリ,分類キーワード
1456,(株)ヒガシ,ヒガシ,中央地域,鴻巣市,東1-4-8,,36.06278598,139.5148337,ものづくりの基盤を支えるNC工作機械を製作する会社です。汎用工作機械から顧客の高い要望に応えたカスタムメイド工作機械まで製作しています。この工場では設計～加工～電装～組立～試加工（テスト）の工程すべてを一貫して行っています。高い技術力はすべての工作機械に生かされていて、メンテナンスも行っています。工場ではそれらの全工程が見られるように見学者を受け入れています。,048-541-3060,048-542-1959,JR鴻巣駅から徒歩10分,,なし,"＜受入時間＞
10：00～15：00",土、日、年末年始,無料,なし,なし,,"予約：要（問い合わせ）
予約方法：電話、FAX、メール(info@higashi-co.com)
※同業者不可、帽子持参、サンダル禁止
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.higashi-co.com/,遊・体,産業観光・工場見学,工場見学・施設見学,
1457,(株)フラワーコミュニティ放送,フラワーコミュニティホウソウ,中央地域,鴻巣市,東1-1-25,,36.06236643,139.5158932,平成10年に開局したコミュニティFM放送局。「元気でやさしいフラワーラジオ」をコンセプトに鴻巣市を中心に近隣エリアをカバーし、24時間地域情報を提供しています。またインターネットラジオやテレビ番組制作なども行っています。見学は一般の方から児童まで広く受け入れていて、スタジオ見学やDJ体験ができます。入口では局のキャラクター「うめサブロー」が迎えてくれます。,048-543-7767,,JR鴻巣駅から徒歩10分,,なし,"＜受入時間＞
10：00～18：00",無,無料,なし,なし,,"予約：要（1週間前までに）
予約方法：電話
※DJ体験あり
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.fm767.com,遊・体,産業観光・工場見学,工場見学・施設見学,
1458,(株)アサヒコミュニケーションズ,アサヒコミュニケーションズ,中央地域,鴻巣市,本町4-3-23,,36.05920399,139.5119691,明治43年（1910）創業の印刷会社です。創業100年を迎える会社が掲げるキーワードは「傳（でん）」。一方的な伝達ではなく、「伝える」「伝わる」情報を共有したコミュニケーションを顧客とともに創り出すことを目指しています。「デンリュウサイタマ」というWebサイトを立ち上げ、埼玉県の情報発信基地になっています。工場見学は児童を中心に受け入れていて、「本が出来るまで」が学べます。,048-541-5152,,JR鴻巣駅から徒歩3分,,なし,"＜受入時間＞
10：00～16：00",日、年末年始,無料,なし,なし,,"予約：要（1週間前までに）
予約方法：電話
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.asahi-com.net/,遊・体,産業観光・工場見学,工場見学・施設見学,
1459,(有)大一米菓「本手焼おおとり」,ダイイチベイカホンテヤキオオトリ,中央地域,鴻巣市,人形2-1-63,,36.05383287,139.518452,鴻巣市人形町にあるせんべいを作り続けて80年以上のお店です。鴻巣市と吉見町の間を流れる荒川の川幅が日本一であることを記念してつくった「川幅せんべい」が話題になっています。機械が発達した現代でも職人の手作りにこだわり、一枚一枚を丁寧に焼き上げる様子を見ることができます。焼きたてのせんべいの試食サービスもあります。,048-541-0373,,JR鴻巣駅からバスで「人形町」下車5分、徒歩15分,,なし,"＜受入時間＞
10：00～16：00",日、祝,無料,なし,なし,外国人対応可(通訳付または日本語がわかる人),"予約：要（2週間前までに）
予約方法：電話
※見学は1回10名まで（それ以上は応相談）
※県産業観光ガイドブック（ものづくり案内帖）掲載",,食・買,物産・おみやげ,せんべい,
1460,(株)マル武人形,マルタケニンギョウ,中央地域,鴻巣市,人形2-1-8,,36.05523803,139.5185941,ひな人形、五月人形などの製造・販売を行っている人形工房です。埼玉県伝統工芸士たちが裂地（きじ）選びから衣裳作り、着せ付け、振り付け、頭（かしら）差しの作業を行っています。人形の細部にこだわって衣裳の裏に国指定重要無形文化財の和紙を使った「極上仕上雛」を製作しています。工房見学は、主に小中学生を対象にしていますが、一般の方の見学も受け入れています。,048-541-3517,,JR鴻巣駅から徒歩15分,,なし,"＜受入時間＞
問い合わせ",日（店舗は11/1～5/5無休）、年末年始,無料,なし,なし,,"予約：要
予約方法：電話
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.marutakeningyou.co.jp,遊・体,伝統工芸・地場産業,人形・甲冑・押絵羽子板,伝統工芸モデル工場
1461,(株)広田屋人形,ヒロタヤニンギョウ,中央地域,鴻巣市,人形1-16-18,,36.05121332,139.5192647,ひな人形、五月人形を製作する工房です。250坪の店舗フロアにはゆったり見学できるように人形が展示されています。店舗の奥が人形製作工房になっています。頭（かしら）づくり～手足づくり～衣裳かけ～小道具～組立の工程に多くの職人が携わっています。見学はもちろん人形づくり教室、展覧会などもあり、一般の方から児童まで幅広く受け入れています。,048-541-8888,,JR鴻巣駅から徒歩20分,,あり,"＜受入時間＞
初心者向人形教室（60名）（7月の毎土曜13：00～16：30 有料）
工場見学：10月～11月平日の10：00～16：00 無料",月（11/1～5/5無休）,,なし,あり,,"予約方法：電話
体験教室あり、対応可
※人形作家の作品展と江戸時代の人形一般公開：（9月の第3～4日曜10:00～17:00）
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.hirotaya.com,遊・体,伝統工芸・地場産業,人形・甲冑・押絵羽子板,
1462,マルキユー(株),マルキユー,中央地域,桶川市,赤堀2-4,,36.0304034,139.5670509,かつて製糸工場でカイコのさなぎを加工する会社でしたが、現在は釣りエサをつくるようになった会社です。「釣れるエサづくり」をモットーに海、川、湖沼など様々なシーンに合うよう各種の釣りエサを製造しています。楽しく安心して魚釣りできるように自然循環サイクルを利用するエサで環境への配慮をしています。釣りエサができるまでがわかる工場見学は児童を中心に受け入れています。,048-728-0909,,JR桶川駅からバスで「工業団地」下車2分,,あり,"＜受入時間＞
10：00～16：00",土、日、祝,無料,なし,あり,英語、中国語、韓国語カタログあり,"予約：要（1か月前までに）
予約方法：電話
※見学は10名以上で、同業者不可、見学者は帽子持参が望ましい
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.marukyu.com/,遊・体,産業観光・工場見学,工場見学・施設見学,
1463,(有)旭信,キョクシン,中央地域,桶川市,坂田東1-36-2,,36.0116438,139.5798632,天然の竹と本漆を用いる江戸和竿製作の伝統を継ぐ工房。黄綬褒章を受けた3代目の技術を継いだ4代目が作る竿は、顧客の高い要望を満たすため受注製作が中心です。青貝を竿の曲面に埋め込んだ独自技法の塗り竿は釣り竿と言うより伝統芸術作品の雰囲気を感じさせます。工房では一般の方の見学を受け入れています。,048-728-0219,,JR桶川駅からバスで「みの木」下車3分,,なし,"＜受入時間＞
10：00～16：00",日、祝,無料,なし,なし,,"予約：要（2週間前までに）
予約方法：電話
※見学は3名程度まで、危険を伴うために小中学生は不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.geocities.jp/kyokusin_rod/,遊・体,伝統工芸・地場産業,地場産業・その他,
1464,三国コカ・コーラボトリング(株),ミクニコカコーラボトリング,中央地域,桶川市,加納180,,36.01587766,139.5571268,誕生から100年以上世界中で愛されているコカ・コーラを製造・販売している会社です。三国コカ・コーラボトリングは埼玉・群馬・新潟を主な販売エリアとしています。見学コースとなるコカ・コーライーストジャパンプロダクツ岩槻工場では、1分間で900本のPETボトルにコカ・コーラを詰める機械（ボトル・フィラー）の様子が見られます。,048-774-1103,,東武野田線東岩槻駅から車で10分,東北道岩槻ICから15分,あり,"＜受入時間＞
10：30～、13：30～
＜受入日＞
火、水、木",,無料,あり,あり,コカ・コーラについての英語版案内ＤＶＤあり,"予約：要（1週間前までに）
予約方法：電話
※小学生以上20～50名の団体で受入
※見学先と掲載写真はコカ・コーライーストジャパンプロダクツ㈱岩槻工場
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.mikuni-ccbc.co.jp/,遊・体,産業観光・工場見学,工場見学・施設見学,
1465,(株)高須賀製作所,タカスカセイサクジョ,中央地域,上尾市,領家1136-7,,35.9731056,139.5451876,上尾領家工業団地にある板金加工工場で、レーザー切断、溶接などを得意としています。CADデータ作成の段階から組み立て後の検査まで一貫して行える生産体制を持っています。生産を担う技術者全員が社訓として掲げられた10の行動指針を守り、高品質・低価格・短納期を実現しています。輸送用機械器具などを主に製造している現場を2階から全体を眺め、1階で間近に見学することができます。,048-726-1400,048-781-1710,JR上尾駅から車で15分、バスで「西上尾車庫」下車10分,,なし,"＜受入時間＞
10：00～15：00",土、日、祝,無料,なし,なし,外国人対応可(通訳付または日本語がわかる人),"予約：要（2週間前までに）
予約方法：電話、FAX、メール（info@takasuka-ss.co.jp）
※見学は長袖、長ズボンを着用。同業者不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.takasuka-ss.co.jp/,遊・体,産業観光・工場見学,工場見学・施設見学,
1466,(資)桔梗屋箪笥店,キキョウヤタンステン,西部地域,川越市,新富町1-6-4,,35.917099,139.4828271,国内至上の嫁入り箪笥を手がけた職人のいる桐箪笥店。江戸時代とほぼ同じ方法で、1棹を10日ほどかけて製作。釘を使わず板を組み、湿度調整を促す「ヤシャブシ」を煮詰めた塗料を使用。削り直して新品同様に甦る、百年単位で使える箪笥です。ショールームでは美智子さまの箪笥を再現したものが見学でき、工場では箪笥の組立などが見学できます。朗らかな社長が軽妙な語りで案内します。,049-225-3383,,西武新宿線本川越駅・東武東上線川越市駅から徒歩5分,,なし,"＜受入時間＞
11：00～15：00",ショールームは水、工場は土、日、祝,無料,なし,なし,,"予約：要（10日前までに）
予約方法：電話
※直売施設あり
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www3.ocn.ne.jp/~kikyoya,遊・体,伝統工芸・地場産業,桐箪笥・桐箱,伝統的手工芸品 伝統工芸 郷土芸能
1467,彩の国　醤遊王国　弓削多醤油(株),サイノクニ　ショウユオウコク　ユゲタショウユ,西部地域,坂戸市,多和目475,,35.92107147,139.3382719,五感で醤油醸造を学べる蔵元です。1時間ごとのアナウンスで希望者を集め、製造見学ツアーを実施。カフェ併設の仕込蔵展望室には、ライトアップでもろみの詳細と木桶を照らしあわせて見学できる仕掛や、蔵の空気を感じられる空気筒などが設置されています。「プチプチ」というもろみの発酵音も聞く事ができます。名物「醤油ソフト」や、自分で搾った生醤油を使う「たまごかけごはん」が好評です。,042-985-8011,,東武越生線西大家駅からバスで「田波目西郷」下車3分,関越道鶴ヶ島ICから15分,なし,"＜受入時間＞
10：00～17：00",年末年始、1月1日～5日,無料、醤油搾り体験有料（1升1600円～、150ml420円～）,なし,なし,,"予約：不要（10名以上要、1週間前までに）
予約方法：電話
※醤油搾り体験は要予約、詳細問い合わせ
※醤油を活かしたカフェ併設有。
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.yugeta.com,遊・体,産業観光・工場見学,工場見学・施設見学,食品 資料館
1468,(株)東立製作所　日高工場,トウリツセイサクショ　ヒダカコウジョウ,西部地域,日高市,大字旭ヶ丘字竹の台690-1,,35.91483506,139.3687606,プラスチック（樹脂）の成形・加工を手がける会社。樹脂の加工はとても難しく、運搬時間や天候すらも伸びの原因になります。「生き物のような」樹脂を相手にするため工場内の空調管理は厳しくなっています。手加工による微調整をする汎用部隊は、経験と技能がものをいうベテランの担当。規格商品を扱う自動機部隊では若手の担当が多いそうです。職人たちによる難しいプラスチック加工の様子が見学できます。,042-989-5255,,JR武蔵高萩駅から徒歩20分,関越道鶴ヶ島ICから10分,なし,"＜受入時間＞
10：00～12：00、13：00～15：00",日、祝、他会社カレンダーによる,無料,なし,なし,工場内は段差なし,"予約：要（1ヵ月前までに）
予約方法：メール（matsukawa@touritsu.co.jp）、電話（専務松川晃代）
※20名以上で受入、同業者不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",http:/www.touritsu.co.jp/,遊・体,産業観光・工場見学,工場見学・施設見学,
1469,長澤酒造(株),ナガサワシュゾウ,西部地域,日高市,北平沢335,,35.91361965,139.3283759,荘厳なケヤキが印象的な、年間1万人以上が訪れる蔵元。仕込みは11月～3月中頃で、米を蒸すなど酒造りらしい現場を見られることも。稼動期以外でも実際に使う巨大釜やセイロが見学可。隣は昔の帳場を再現したミニ資料館。季節限定で代々受け継ぐお雛様の展示あり。3月第1週、6月第3週、12月第1週の土日は、蔵見学会や甘酒サービスなどを実施。地酒スイーツも豊富で、地元牧場とコラボした甘酒アイスが人気。,042-989-0007,,JR高麗川駅から徒歩30分、駅からバスで「北平沢」下車すぐ,関越道鶴ヶ島ICから20分,あり,"＜受入時間＞
10：00～18：00",年中無休,無料,あり,あり,,"予約：要（1週間前までに）
予約方法：電話
※ガイドは希望予約団体のみ、ミニ資料館あり（無料）
※県産業観光ガイドブック（ものづくり案内帖）掲載",,食・買,物産・おみやげ,地酒・醤油・味噌,食品
1470,(株)山岸屋木工所,ヤマギシヤモッコウジョ,西部地域,飯能市,緑町１１?１,,35.85258198,139.3313599,エコな視点でいち早く端材活用を見出した木製建具会社です。丸太から出る大きな余り材の処分に着目し、現社長が利用用途を模索。良質な端材を使った「框（かまち）風扉の加工」が実用新案に登録され、西川材の活躍の場を広げました。工場では扉をメインに、木材加工の乾燥や糊付け、プレス加工などが見学できます。行灯（あんどん）や表札など小物の直売もあり。本立てなどの組立キットの提供もしています。,042-974-2717,,圏央道狭山日高ICから7分,,あり,"＜受入時間＞
7月下旬の9：00～17：00",日、祝（土は不定休）,無料,なし,あり,,"予約：要（10日前までに）
予約方法：電話
※端材を使った小物の展示販売、同業者不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",,遊・体,産業観光・工場見学,工場見学・施設見学,木工
1471,五十嵐酒造(株),イガラシシュゾウ,西部地域,飯能市,川寺667-1,,35.83839426,139.324944,実際の製造に参加し、本場の酒造りを体験できる蔵元です。体験のタイムテーブルは6:00～麹づくり、7:00～朝食、8:00～10:00全体の仕込みです。15:00～17:00も作業がある場合があります。見学案内はとても丁寧で、布団に包まれた麹、低温管理で育てる酵母、上から見られる仕込中の酒などが見所です。ほんのり甘い麹の味見もできます。,050-3785-5680,042-974-0394,西武池袋線飯能駅からバスで「加治橋」下車すぐ,圏央道狭山日高IC・青梅ICから10分,あり,"＜受入時間＞
9：00～16：00",無休,無料・酒造り体験は時間帯により有料（要問い合わせ）,なし,あり,,"予約：前日までに電話、FAX、メール（iga_s@snw.co.jp）で
※酒造り体験作業参加は1時間より。酒造工程を一通り体験するには通算4日間。
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.snw.co.jp/~iga_s,食・買,物産・おみやげ,地酒・醤油・味噌,食品
1472,加藤木材工業(株),カトウモクザイコウギョウ,西部地域,飯能市,笠縫418,,35.8478375,139.3314117,木を編む遊び「きあみ」を考案した西川材の利用に意欲的な建具メーカー。西川材の端材でファッショナブルなドアを製作し、さらにその端材で工作キット「きあみ」を考案。0.3mmにスライスしたヒノキで木の温もりや香りを感じつつ、コースターやカゴを作れます。木造校舎のような工場です。製作工程はわかりやすく、ドアが形作られる様子が見学できます。木製内窓の後付施工も手がけ、木目のある空間提案も行っています。,042-972-2141,,西武池袋線飯能駅から徒歩15分、JR東飯能駅から徒歩10分,圏央道狭山日高ICから15分,なし,"＜受入時間＞
10：00～、13：00～",土、日、祝,400円（きあみ製作体験代込み）,なし,なし,,"予約：要（2週間前までに）
予約方法：電話（産業観光の見学と申し出）
※2名以上で受入可、きあみ体験（要予約）
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.katomokuzai.co.jp,遊・体,体験観光,木工体験・陶芸,木工
1473,協同組合　フォレスト西川,キョウドウクミアイ　フォレストニシカワ,西部地域,飯能市,阿須523-1,,35.828412,139.3294985,西川材をふんだんに使ったモデルハウスを持つ材木店。「日本の木をもっと使えるように」と製材だけではなく加工もしています。「地産地消」のため市役所のベンチや、図書館の木製学習スペースなどを手掛けました。工場では木材カットや腐敗を防ぐための薬剤処理、蒸気式乾燥機などが見られます。見学疲れの子どもが元気になるというモデルハウスは、直に木の温もりが感じられます。,042-974-4510,,西武池袋線飯能駅からタクシーで10分,圏央道狭山日高IC・青梅ICから20分,なし,"＜受入時間＞
10：00～16：00",第2土、日、祝,見学3000円,なし,なし,,"予約：要（2週間前までに）
予約方法：電話
※子ども用木製おもちゃ販売あり
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.forest-nishikawa.com/,遊・体,産業観光・工場見学,工場見学・施設見学,
1474,飯能窯,ハンノウガマ,西部地域,飯能市,大字苅生28?1,,35.84430838,139.2795718,奥武蔵の渓流のほとりにある陶芸教室も兼ねた窯元です。女性や外国人の来訪が多く、製作・鑑賞が楽しめます。綺麗な建物に小川のせせらぎとコーヒーの香りが漂う落ち着ける場所柄が自慢。休憩スペース兼直売所、来訪者の製作場、展示室、茶室などがあります。窯元の作品は色に優れ、受賞したものもあります。上薬も土も自家製。窯元の作業は窓越しで見学できることもあります。,042-973-9099,,西武池袋線飯能駅、JR東飯能駅からタクシーで20分,圏央道青梅ICから20分,あり,"＜受入時間＞
9：00～17：00（製作10：00～）",金、年末年始（12/28～1/8）,無料・製作有料（3000円～）,あり,あり,車椅子可,"予約：不要（陶芸教室は要、前日までに）
予約方法：電話（製作2～5時間）
※製作完成品は1～2ヵ月後に引き取りか郵送、直売あり
※県産業観光ガイドブック（ものづくり案内帖）掲載",,遊・体,体験観光,木工体験・陶芸,伝統的手工芸品 郷土景観 庭園 渓谷 陶芸 郷土芸能
1475,(有)天ヶ瀬工業,アマガセコウギョウ,西部地域,飯能市,赤沢727-1,,35.8571242,139.2106663,清爽な渓流前にある鉄を加工する会社。競馬場などの屋上手すりなどを手がけています。第一工場は溶接や曲げ、レーザー加工の作業。第二工場は削り、穴あけなどを行い、昔ながらの町工場にある使い手の少ない機械の稼働を見る事ができます。奥地で商売する秘訣は、土日稼働など他と違う特色を持つことだとか。オリジナルの“ボルトを締めるだけで組立可能”の移動式車庫キットの販売あり。,042-977-0464,,西武池袋線飯能駅からバスで「鹿戸」下車3分,圏央道狭山日高IC・青梅ICから40分,なし,"＜受入時間＞
9：00～16：00",火,無料,なし,なし,,"予約：要（1週間前までに）
予約方法：電話、メール（amagse@amagasekk.co.jp）、FAX042-977-0247
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.amagase-kk.co.jp/,遊・体,産業観光・工場見学,工場見学・施設見学,渓谷
1476,「山田うどん」山田食品産業(株),ヤマダウドン　ヤマダショクヒンサンギョウ,西部地域,入間市,宮寺宮ノ台4001,,35.81012215,139.3725371,関東250店舗分の「山田うどん」のうどん・そば・ラーメン・やきそば等の麺類を中心とした食材を作る工場です。最初にビデオで詳細学習。特別ブレンドの小麦粉で作るうどんや、挽きたての粉を使うそばなど美味しさへのこだわりが明らかになります。その後、実際の現場を窓越しに見学。麺を出荷カゴに入れる鮮やかな手さばきが好評。惣菜工場も併設され、餃子・コロッケ・チャーハンなどの製造の様子も見学することができます。,04-2934-3121,,西武池袋線入間市駅からバスで「船久保工場前」下車10分,圏央道入間ICから5分,あり,"＜受入時間＞
10：00～（1日1回）",日,無料,なし,あり,車椅子不可,"予約：要（2週間前までに）
予約方法：電話、ホームページ
※5名以上で受入
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.yamada-udon.com/,遊・体,産業観光・工場見学,工場見学・施設見学,食品
1477,セイキ販売(株)　武蔵工場,セイキハンバイ　ムサシコウジョウ,西部地域,入間市,狭山ヶ原350,,35.811179,139.364699,アイデアで業界をリードする特殊網戸トップメーカー。大手住宅メーカーの6割以上を手がけています。最大4mまで対応できる網戸、蜂の巣形状で断熱効果をもつスクリーン、巻取式やプリーツ加工など多様な網戸が見学可能です。全ての商品にちょっとした工夫が効いており、課題解決の手腕が一番の見所。「コロンブスの卵」という社内アイディアコンテストを毎年開催しています。,04-2934-7445,,西武池袋線入間市駅からタクシーで10分,圏央道入間ICから5分,あり,"＜受入時間＞
10：00～16：00",土、日、祝、会社指定の休日（夏季・年末年始）,無料,なし,あり,,"予約：要（3日前までに）
予約方法：電話（担当総務クマガイ）
※4名以上で受入、同業者不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.seiki.gr.jp/,遊・体,産業観光・工場見学,工場見学・施設見学,
1478,(有)明日香,アスカ,西部地域,狭山市,加佐志201-1,,35.8654464,139.4206587,関東で初の抹茶工場です。緑茶は「蒸す→揉みながら風で乾燥」の爽やかな鮮度感が売りですが、抹茶は「蒸す→輻射熱で乾燥→熟成→粉末化」の熟成感が売りです。工場は見学にも配慮されており「散茶冷却」が見所。茶葉を高さ7mまで吹き上げ、ぱらぱら落ちる工程を3回繰り返します。乾燥は加減が難しく、担当者の裁量が味を左右します。品評会では静岡をしのいだ味自慢の銘茶です。,04-2959-1815,,西武新宿線新狭山駅から徒歩15分,関越道川越ICから10分,あり,"＜受入時間＞
9：00～17：00",不定休（都合が合えば随時）,無料,なし,あり,,"予約：要（1週間前までに）
予約方法：電話
製造ラインの見学
※見学は2名以上で受入
※県産業観光ガイドブック（ものづくり案内帖）掲載",,遊・体,産業観光・工場見学,工場見学・施設見学,食品
1479,(株)サンワ　狭山工場,サンワ　サヤマコウジョウ,西部地域,狭山市,根岸571,,35.8671059,139.3756105,車椅子の階段昇降用リフトを製造する会社です。リフトの実験施設を兼ねているため、社内の階段は全て造りが異なり、角度や段数、カーペットの有無、踊り場のないものなど様々。工場では1人が1つのテーブルでゼロから完成までを手がけています。階段昇降用リフト等の開発から製造の見学に加え、企業改善の分野でも注目されているため“社内の見える化”などの取り組み実例も見学可能です。,042-954-6611,,西武新宿線狭山市駅・入間市駅からタクシー15分,圏央道狭山日高ICから2分,なし,"＜受入時間＞
9：30～12：00、13：30～16：00",土、日、祝、お盆、年末年始,無料,あり,なし,,"予約：2週間前までに電話（担当総務）、メール（soumu@sunwa-jp.co.jp）で
※5名以上で受入、同業者不可
※動きやすい履物で
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.sunwa-jp.co.jp,遊・体,産業観光・工場見学,工場見学・施設見学,
1480,(株)かにや,カニヤ,西部地域,狭山市,柏原337-13,,35.8739306,139.3935477,お菓子が大好きな若者達が製造・販売を手がける「お菓子工房」です。狭山茶をはじめとした埼玉県産の農産物など各地の最高素材を取り寄せてこだわりのお菓子を作ります。感覚をフルに使って、可能な限りの手づくり製造を心がけています。事務所には菓子の専門書が約1500冊あり、先人の知恵を生かしつつ新製品開発にも意欲的に取り組んでいます。,04-2954-7111,,西武新宿線狭山市駅からバスで「工業団地前」下車5分,圏央道狭山日高ICから5分,あり,"＜受入時間＞
10月の9：00～11：00のみ",火、水,,なし,あり,,"予約：小学生の体験学習のみ
予約方法：学校から電話→先生との事前打合せの上で相談
※衛生管理のため厳しい受入制限あり、一般の見学に関する問い合わせ不可
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.kaniya.co.jp,食・買,物産・おみやげ,和菓子,食品
1481,(株)倉片人形,クラカタニンギョウ,西部地域,所沢市,東新井町283,,35.79642612,139.4816279,伝統技術を継承する数少ない工房で、創業170年の老舗です。広いショールームには200体以上のお雛様があり、美人No.1を探すのも楽しみ。航空発祥の地の所沢らしく、飛行機の飛ぶ鬼ヶ島と五月人形のジオラマもあります。所沢で古くから生産されている押絵羽子板の展示もあります。小学校団体はお雛様を見た後、映像で製作工程を学び、その後製作現場を見学します。,04-2993-1351,,西武線所沢駅から徒歩20分,関越道所沢ICから10分,あり,"＜受入時間＞
6月～11月の9：00～15：00（工房見学は小学生団体のみ）",土、日、祝（ショールーム11月中旬～5月3日は無休）,無料,なし,あり,,"予約：要（1週間前までに）
予約方法：電話（学校を通して申込み）
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.k-doll.co.jp,遊・体,伝統工芸・地場産業,人形・甲冑・押絵羽子板,伝統的手工芸品 伝統工芸 伝統工芸モデル工場 郷土芸能
1482,東京鋲螺工機(株),トウキョウビョウラコウキ,西部地域,新座市,野火止7-13-3,,35.8045262,139.5662105,マイクロ部品やネジの型を手がけるメーカー。ダイヤモンドに次ぐ硬さの超硬合金を加工して、材料となる金属を圧造して製品を量産するための型を作っています。髪の毛と同じ太さの0.1mmの微細穴あけ加工や鏡のように磨き上げて抵抗を減らすラップ加工などを得意としています。金型材料の加工から仕上げまでの工程や最小軸径0.24mmの世界最小ネジ金型などを見学できるコーナーがあります。,048-478-5081,,JR新座駅から徒歩15分,,なし,"＜受入時間＞
9：00～17：00",土、日、祝,無料,なし,なし,,"予約：要（1週間前までに）
予約方法：電話（業務部西村）
※危険につき運動靴着用のこと（サンダル不可）
※稼動している機械には近寄らないように
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.tbyk.co.jp,遊・体,産業観光・工場見学,工場見学・施設見学,
1483,(有)野火止製作所,ノビドメセイサクショ,西部地域,新座市,野火止3-2-48,,35.7906139,139.5538227,切抜きの技術が自慢の板金工場。小惑星探査機「はやぶさ」の製作協力、「箱根の森美術館」の展示作品の加工も手がけました。アルミ・木・アクリルなど様々な板状素材を扱い、緻密な加工を行います。レーザー加工機での切抜きや溶接、曲げなどの工程が見学できます。お店の立体看板の依頼も多く、組立工程に立ち会えるかもしれません。,048-481-2300,,JR新座駅から徒歩25分、バスで「管沢中央」下車15分,,なし,"＜受入時間＞
10：00～15：00（見学開催　月1程度）",土、日、祝,無料,なし,なし,特定時間英語対応可,"予約：要（1週間前までに）
予約方法：電話（担当石川・井原）
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.nobidome.co.jp,遊・体,産業観光・工場見学,工場見学・施設見学,
1484,(有)村上朝日製麺所,ムラカミアサヒセイメンジョ,西部地域,新座市,池田3-3-20,,35.7719167,139.5727799,新座名物「にんじんうどん」を発案した研究心あふれる製麺所。直営店横の尾崎農園からにんじんを仕入れてすりおろすので、粉末使用の製品とひと味違います。この作業は秋冬の季節限定のためビデオ上映の用意もあります。製麺工程は通年見学可。新座豚を使った「肉汁にんじんうどん」は工場から2kmの直営店で食べられます。一日分のカロテンが摂れるヘルシーグルメが売り。「原料から食へ」の流れが近場で楽しめます。,048-478-3881,,東武東上線朝霞台駅からバスで「池田2丁目」下車10分,,なし,"＜受入時間＞
10：00～12：00、13：00～15：00",土、日、祝、お盆、年末年始,無料,なし,なし,車椅子での入店・見学は可,"予約：要（1週間前までに）
予約方法：電話
※直営店「麺屋4兄弟＋」、近隣のダチョウ牧場で製品販売あり
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.ninjnudon.com,食・買,飲食,ご当地グルメ,食品
1485,(有)ステンレスアート共栄,ステンレスアートキョウエイ,西部地域,朝霞市,上内間木2,,35.8244384,139.6126557,JRや私鉄の点字案内板や複雑な形を製品化する板金加工会社。某人気アトラクションも手がけ、本社カリフォルニアから見学者が来たことも。イメージ画が製品になるよう具現化し、さらに強度の解析も行います。3次元CADで作った製品の展開図を加工機へ転送し板金をカット。広げた箱のような板金を溶接で成型します。ピカピカに磨きあげる仕上げは職人技。,048-458-1555,,東武東上線朝霞駅からバスで「内間木三在」下車3分、JR北朝霞駅・東武東上線朝霞台駅からも来社可,,なし,"＜受入時間＞
10：00～16：00",日、祝,無料,なし,なし,英語のパンフあり、特定時間インドネシア語対応可,"予約：要（1週間前までに）
予約方法：電話、メール（info@sa-k.co.jp）（担当専務）
※県産業観光ガイドブック（ものづくり案内帖）掲載",http://www.sa-k.co.jp,遊・体,産業観光・工場見学,工場見学・施設見学,
